"","AUL.pal","CAL.cor","CAL.str","CAM.ste","DIC.bon","DIC.fus","DIC.pol","DIC.sco","DIC.und","DRE.exa","DRE.flu","HYL.spl","LIM.rev","LOE.bad","PLE.sch","POH.nut","POL.com","POL.jun","PTL.cri","SAN.unc","SCO.sco","TOM.nit","SPH.ann","SPH.bal","SPH.cap","SPH.cen","SPH.com","SPH.con","SPH.cus","SPH.fal","SPH.fus","SPH.gir","SPH.lin","SPH.mag","SPH.maj","SPH.pap","SPH.pla","SPH.pul","SPH.rip","SPH.rub","SPH.rus","SPH.squ","SPH.sub","SPH.subf","SPH.ten","SPH.ter","SPH.war","SPH.wul"
"2708",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,15,0,3,0,0,0,0,0,15,0,0,15,0
"2710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,1,0
"2711",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,15,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,3,0
"2713",0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,15,0,0,0,0,0,0,63,0,3,0,3,0,0,3,0,3,3,0,0,0,0,3,1
"2714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,38,0,0,0,0,0,0,0,0,0,0
"2715",0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,63,0,0,3,3,0,3,0,0,0,0,3,0,0,0,0,0,3,0
"2716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,3,3,0,0,0,0,0,0,63,0,0,0,0,0,0,0
"2717",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,3,0,3,0,15,0,0,3,0,0,0,0,0,15,0
"2718",0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,15,63,0,1,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0
"2719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,88,0,0,0,0,0,0,0,0,3,0
"2720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,38,0
"2721",3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,3,0,0,15,0,0,0,0,1,38,0
"2722",0,0,0,0,0,0,0,0,1,0,1,0,0,0,15,0,0,3,1,0,0,0,0,0,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,63,1,0,0,0,0,3,0
"2723",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,1,0,0,0,0,15,0,15,0,0,0,1,0,0,0,0,3,0
"2724",3,1,1,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,1,1,0,15,0,0,0,0,15,3,0,0,0,0,15,1
"2725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,1,0,0,0,0,0,0,0,0,0,0,15,0,15,0,3,0,3,0,0,0,0,38,1,0,0,0,0,15,0
"2726",0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,1,0,1,0,0,0,0,0,15,0,0,0,0,15,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
"2727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
"2728",1,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,3,0,3,0,0,0,0,0,3,0,0,0,0,15,15,0,3,3,0,3,0,0,0,0,38,0,0,0,0,0,0,0
"2729",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,15,0
"2730",3,0,1,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,38,0,0,0,1,0,0,0,1,3,0,3,0,3,3,0,0,0,0,0,15,0
"2731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,0,0,0,0,3,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,38,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,38
